Barrio,Tipologia,Tipo de alquiler,Unidad,Valor bajo,Valor alto,Categoria de dato,Fuente,Fecha de actualizacion,Notas
Terminal,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Terminal,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Terminal,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Terminal,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Terminal,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Terminal,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Terminal,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Terminal,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Terminal,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Terminal,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Terminal,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Pablo,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bañado,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bañado,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bañado,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bañado,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Ana,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Enramada,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
